gene_symbol,entrez_id,conversion_success
HLA-E,3133,TRUE
RHOA,387,TRUE
MVP,9961,TRUE
TEX264,51368,TRUE
PITPNA,5306,TRUE
TOX-DT,100505501,TRUE
COA8,84334,TRUE
FCGRT,2217,TRUE
TOB2,10766,TRUE
CEBPZOS,100505876,TRUE
MIR22HG,84981,TRUE
VPS29,51699,TRUE
ZNF277,11179,TRUE
IDH2,3418,TRUE
WIPF1,7456,TRUE
ZNF688,146542,TRUE
C12orf76,400073,TRUE
RPL41,6171,TRUE
TRERF1,55809,TRUE
PPM1M,132160,TRUE
TBC1D5,9779,TRUE
BRD8,10902,TRUE
ATP5MJ,9556,TRUE
PTK7,5754,TRUE
SNX17,9784,TRUE
ZNF771,51333,TRUE
IQCE,23288,TRUE
DNAJC19,131118,TRUE
,NA,FALSE
SMIM4,NA,FALSE
ATP13A1,57130,TRUE
HLA-A,3105,TRUE
LRFN3,79414,TRUE
TTYH3,80727,TRUE
RNF40,9810,TRUE
BDNF-AS,497258,TRUE
SEPTIN1,1731,TRUE
ACY1,95,TRUE
ZNF747,65988,TRUE
SCG2,7857,TRUE
CLUH,23277,TRUE
NAV1,89796,TRUE
KIAA1549,57670,TRUE
BCAT2,587,TRUE
TRIM26,7726,TRUE
KCTD18,130535,TRUE
AGPAT1,10554,TRUE
INTS1,26173,TRUE
METTL15,196074,TRUE
PCDHGA8,9708,TRUE
SPATA24,202051,TRUE
BORCS8-MEF2B,4207,TRUE
DIABLO,56616,TRUE
